Organisation,Address,suburb,Website,latitude,longitude
Space & Co,"Level 12, 360 Elizabeth Street, Melbourne 3000",Melbourne (CBD),http://www.spaceandco.com.au/melbourne,-37.8108817,144.9620182
Space & Co,"Level 3, 530 Collins Street, Melbourne 3000",Melbourne (CBD),http://www.spaceandco.com.au/melbourne,-37.8176842,144.9568165
Space & Co,"Level 22, 8 Exhibition St, Melbourne 3000",Melbourne (CBD),http://www.spaceandco.com.au/melbourne,-37.815392,144.972791
Space & Co,"Level 19, 2 Southbank Boulevard, Melbourne 3000",Southbank,http://www.spaceandco.com.au/melbourne,-37.821577,144.962359
Space Station,"Level 18, 461 Bourke Street, Melbourne 3000",Melbourne (CBD),https://spacestation.net.au/,-37.815537,144.960256
Space Station,"Level 10, 440 Collins Street, Melbourne 3000",Melbourne (CBD),https://spacestation.net.au/,-37.81705,144.959791
Stone and Chalk,"710 Collins Street, Melbourne 3000",Docklands,http://www.stoneandchalk.com.au,-37.819908,144.950386
The Cluster,"Level 17, 20/21, 31 Queen Street Melbourne 3000",Melbourne (CBD),http://www.thecluster.com.au,-37.8182314,144.961787
The Commons QV,"3 Albert Coates Lane, Melbourne 3000",Melbourne (CBD),https://thecommons.io/location/qv/,-37.811104,144.964657
The Pond,"Level 1, 382 Little Collins Street, Melbourne 3000",Melbourne (CBD),https://silverpond.com.au/ai-community/co-working/,-37.815594,144.961959
Victory Offices,"The Dome – Level 14, 333 Collins Street Melbourne 3000",Melbourne (CBD),www.vcso.com.au/co-working/,-37.8164207,144.9633672
Victory Offices,"Collins Place, Level 30, 35 Collins Street, Melbourne 3000",Melbourne (CBD),www.vcso.com.au/co-working/,-37.81412,144.972341
Victory Offices,"Collins Square, Level 17, 727 Collins Street, Melbourne 3000",Docklands,www.vcso.com.au/co-working/,-37.820606,144.950105
Victory Offices,"Victory Lounge, 416 Collins Street, Melbourne 3000",Melbourne (CBD),www.vcso.com.au/co-working/,-37.81707,144.960353
Wework,"114 William Street, Melbourne VIC 3000",Melbourne (CBD),www.wework.com/l/melbourne,-37.816329,144.95886
Wework,"152 Elizabeth Street, Melbourne 3000",Melbourne (CBD),http://www.wework.com/l/melbourne,-37.8144582,144.963628
Wework,"401 Collins Street, Melbourne 3000",Melbourne (CBD),http://www.wework.com/l/melbourne,-37.816981,144.960678
Wework,222 Exhibition Street Melbourne VIC 3000,Melbourne (CBD),http://www.wework.com/l/melbourne,-37.810727,144.970238
Wework,120 Spencer Street Melbourne VIC 3000,Melbourne (CBD),http://www.wework.com/l/melbourne,-37.818212,144.954332
Work Club,"Level 2, 287 Collins Street, Melbourne 3000",Melbourne (CBD),http://workclubglobal.com/melbourne/,-37.8163321,144.9645095
Workspace365,"Level 14, 330 Collins Street, Melbourne VIC 3000",Melbourne (CBD),https://www.workspace365.com.au/co-working,-37.816211,144.963253
Workspace365,"Level 8, 350 Collins Street Melbourne VIC 3000",Melbourne (CBD),https://www.workspace365.com.au/co-working,-37.816305,144.962863
Workspace365,"Ground Floor, 555 Bourke Street Melbourne VIC 3000",Melbourne (CBD),https://www.workspace365.com.au/co-working,-37.816202,144.957406
Workspace365,"Ground Floor, 485 La Trobe Street, Melbourne VIC 3000",Melbourne (CBD),https://www.workspace365.com.au/co-working,-37.812563,144.954838
Workspace365,"607 Bourke Street, Melbourne 3000",Melbourne (CBD),https://www.workspace365.com.au/co-working,-37.816673,144.955505
Workspace365,"Level 9/14/15 330 Collins Street, Melbourne 3000",Melbourne (CBD),https://www.workspace365.com.au/co-working,-37.816211,144.9632531
YBF Ventures,"520 Bourke Street, Melbourne 3000",Melbourne (CBD),http://ybfventures.com,-37.8152776,144.9583442
